Title,Author,amz_rating,amz_reviews,gr_rating,gr_reviews,price,Year,Genre,genre_1,num_pages
Cutting for Stone,Abraham Verghese,4.6,4866,4.29,25221,11,2011,Fiction,Fiction,541
"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",Brené Brown,4.8,1329,4.28,8350,10,2013,Non Fiction,Nonfiction,287
"David and Goliath: Underdogs, Misfits, and the Art of Battling Giants",Malcolm Gladwell,4.4,4642,3.95,9328,13,2013,Non Fiction,Nonfiction,305
Decision Points,George W. Bush,4.6,2137,3.8,2772,17,2010,Non Fiction,Biography,497
"Delivering Happiness: A Path to Profits, Passion, and Purpose",Tony Hsieh,4.6,1651,4,2366,15,2010,Non Fiction,Business,246
Divergent,Veronica Roth,4.6,27098,4.2,107370,15,2013,Fiction,Young Adult,487
Divergent,Veronica Roth,4.6,27098,4.2,107370,15,2014,Fiction,Young Adult,487
Drive: The Surprising Truth About What Motivates Us,Daniel H. Pink,4.5,2525,3.95,4253,16,2010,Non Fiction,Nonfiction,242
Fahrenheit 451,Ray Bradbury,4.6,10721,3.99,45817,8,2016,Fiction,Classics,194
Fahrenheit 451,Ray Bradbury,4.6,10721,3.99,45817,8,2018,Fiction,Classics,194
Fifty Shades Darker,E L James,4.4,23631,3.85,28968,7,2012,Fiction,Romance,532
Fire and Fury: Inside the Trump White House,Michael Wolff,4.2,13677,3.43,8800,6,2018,Non Fiction,Nonfiction,322
Food Rules: An Eater's Manual,Michael Pollan,4.4,1555,4.01,3593,9,2010,Non Fiction,Nonfiction,152
Go the F**k to Sleep,Adam Mansbach,4.8,9568,4.27,3649,9,2011,Fiction,Humor,17
Going Rogue: An American Life,Sarah Palin,4.6,1636,3.28,1246,6,2009,Non Fiction,Biography,413
Gone Girl,Gillian Flynn,4,57271,4.07,131560,10,2012,Fiction,Fiction,415
Gone Girl,Gillian Flynn,4,57271,4.07,131560,10,2013,Fiction,Fiction,415
Gone Girl,Gillian Flynn,4,57271,4.07,131560,9,2014,Fiction,Fiction,415
Goodnight Moon,Margaret Wise Brown,4.8,8837,4.28,5719,5,2017,Fiction,Childrens,32
Goodnight Moon,Margaret Wise Brown,4.8,8837,4.28,5719,5,2018,Fiction,Childrens,32
Goodnight Moon,Margaret Wise Brown,4.8,8837,4.28,5719,5,2019,Fiction,Childrens,32
Guts,Raina Telgemeier,4.8,5476,4.37,2521,7,2019,Non Fiction,Sequential Art-Graphic Novels,144
Hamilton: The Revolution,Lin-Manuel Miranda,4.9,5867,4.46,5124,54,2016,Non Fiction,Nonfiction,285
Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,Todd Burpo,4.7,15779,4.02,14985,10,2011,Non Fiction,Nonfiction,162
Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,Todd Burpo,4.7,15779,4.02,14985,10,2012,Non Fiction,Nonfiction,162
Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,J. D. Vance,4.4,15526,3.93,26845,14,2016,Non Fiction,Nonfiction,257
Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,J. D. Vance,4.4,15526,3.93,26845,14,2017,Non Fiction,Nonfiction,257
Humans of New York,Brandon Stanton,4.8,3490,4.48,1441,15,2013,Non Fiction,Nonfiction,304
